terms;values
ааа;2
аако;2
аалтонять;2
аанг;2
аание;2
аарне;2
аарон;1,079181
аба;1,698970
абадсалки;2
абаев;2
абазин;2
абазинский;2
абай;2
абакумов;1,698970
абалак;2
абалигет;2
абанква;2
абанский;2
абарон;2
абасов;2
абасыянык;2
абауй;2
абауйсанто;2
абауя;2
абашин;2
аббас;1,518514
аббасидский;2
аббревиатура;1,698970
аббревиатурный;2
абвер;1,698970
абд;1,698970
абдал;2
абдалла;1,698970
абдаллах;2
абдель;1,518514
абденанова;2
абдерауф;2
абдинское;2
абдольхусейн;2
абдул;1,301030
абдулазиз;2
абдулла;1,146128
абдуллаев;2
абдуллах;2
абдулов;2
абдулразак;2
абдур;2
абдурракиб;2
абдусалам;2
абеба;2
абел;1,698970
абелевский;1,518514
абель;1,518514
абердинский;2
абето;2
абецедарий;2
абза;2
абзац;1,698970
абидин;2
абимаэль;2
абиссальный;2
абиссиния;2
абиш;2
абия;2
аблаут;2
аблингер;2
абляционный;2
абнер;2
або;2
абонемент;2
абонить;2
абориген;2
аборт;2
абразивный;2
абрам;2
абрамицкая;2
абрамишвили;2
абрамов;1,698970
абрамова;1,698970
абрамович;1,397940
абрамченко;2
абрахам;1,518514
абрахамсон;2
абрико;2
абруццо;2
абсолютизм;2
абсолютистский;2
абсолютно;1,397940
абсолютный;0,845098
абсорбатор;2
абсп;2
абстрактный;1,146128
абстракционист;2
абстракция;2
абсурд;1,698970
абсурдный;2
абу;1,301030
абубакар;2
абубакаровна;2
абубакер;1,518514
абугида;2
абукир;2
абульгасан;2
абульфаз;2
абумрад;2
абхазия;1,204120
абхазский;1,301030
абхидхамма;2
абыйский;2
ава;2
авадхи;2
авалон;2
аванг;2
авангард;1,146128
аванесов;1,698970
аванесова;2
авантюрист;1,397940
авар;0,698970
авард;2
аварийный;1,079181
авария;0,698970
аварский;1,518514
аватар;1,518514
аваш;2
авваль;2
авг;1,518514
авгур;2
август;0
августин;1,698970
августина;1,518514
августинец;2
августинский;2
августовский;1,397940
авдеевка;2
авдеенко;2
авджи;2
авдіївку;2
авелино;2
авеноль;2
авербах;2
авереск;2
аверс;1,698970
аверченко;2
авестийский;2
ави;2
авиа;2
авиабаза;1,146128
авиабилет;2
авиабомба;2
авиабомбить;2
авиагруппа;2
авиадесантный;2
авиакатастрофа;1,301030
авиакомпания;1,301030
авиаконструктор;2
авиалайнер;2
авиамедицинский;2
авиамост;2
авианалет;2
авианосец;1,301030
авиаперевозка;1,518514
авиарейс;2
авиастроитель;2
авиатор;2
авиатранспорт;2
авиаудар;1,518514
авиаудара;1,518514
авиационный;0,845098
авиация;0,602060
авиашоу;2
авив;1,397940
авива;1,397940
авигдор;2
авила;1,518514
авиньонский;1,698970
ависар;2
авксентьев;2
авл;1,698970
авлака;2
авнер;2
авниэль;2
авоиули;2
авраам;1,518514
авраамий;2
аврамов;2
авранш;2
аврелиан;2
аврелий;1,698970
аврил;1,698970
аврора;1,518514
аврутина;2
австралийский;1
австралия;0,477121
австрийский;0,602060
австрия;0,477121
австро;1,146128
австропоп;2
авт;1,518514
автоавария;2
автобаза;2
автобиографический;2
автобиография;1,518514
автобус;1,041393
автобусный;1,301030
автовокзал;1,518514
автогонки;2
автогонщик;1,518514
автограф;1,041393
автодорога;1,698970
автозаводской;2
автозаправочный;2
автозатухание;2
автокатастрофа;2
автокефалия;1,698970
автокефальный;2
автоклавный;2
автоконцерн;2
автократия;2
автомагистраль;1,698970
автомат;1,204120
автоматизированный;2
автоматизировать;1,698970
автоматически;1,301030
автоматический;1,204120
автомобилестроение;1,698970
автомобилестроительный;2
автомобилист;2
автомобиль;0,698970
автомобильный;0,845098
автомотриса;2
автономия;0,954243
автономный;0,845098
автопарк;2
автопереворот;2
автоподтвержденный;2
автопортрет;1,698970
автопробег;2
автопроизводитель;2
автопростановка;2
автор;0,301030
авторадио;1,698970
авторитаризм;1,698970
авторитарный;1,698970
авторитет;1,301030
авторитетность;2
авторитетный;0,698970
авторск;2
авторский;0,903090
авторство;0
автосалон;2
автоспорт;2
автостанция;2
автостер;2
автотранспорт;1,698970
автохтон;2
авуа;2
авшич;2
ага;1,397940
агада;2
агадирский;2
агамемнон;2
аганбегян;2
агасси;2
агасфера;2
агата;1,518514
агафокл;2
агафопод;2
агафья;2
агашедьхаза;2
агванский;1,698970
аггай;2
аггей;2
агглютинация;2
аггтелек;2
агеева;1,698970
агендерность;2
агенобарб;2
агенство;2
агент;1
агентство;0,602060
агео;2
агилер;2
агирр;1,698970
агис;2
агитатор;1,518514
